,Unnamed: 0,MOF,Kh CH4/ Kh CO2,Kh CH4/Kh H2O,Kh CH4/Kh N2,Kh CH4/Kh N2O,Kh CH4/Kh O2,Kh CO2/Kh H2O,Kh CO2/Kh N2,Kh CO2/Kh N2O,Kh CO2/Kh O2,Kh H2O/Kh N2,Kh H2O/Kh N2O,Kh H2O/Kh O2,Kh N2/Kh N2O,Kh N2/Kh O2,Kh N2O/Kh O2,Kh CO2/Kh CH4,Kh H2O/Kh CH4,Kh H2O/Kh CO2,Kh N2/Kh CH4,Kh N2/Kh CO2,Kh N2/Kh H2O,Kh N2O/Kh CH4,Kh N2O/Kh CO2,Kh N2O/Kh H2O,Kh N2O/Kh N2,Kh O2/Kh CH4,Kh O2/Kh CO2,Kh O2/Kh H2O,Kh O2/Kh N2,Kh O2/Kh N2O,LCD,PLD,SA,VF,VF Error,AV
22,23,ACIBIY_clean,0.284020619,0.286979167,4.669491525,0.276884422,1.190064795,1.010416667,16.44067797,0.974874372,4.190064795,16.27118644,0.964824121,4.146868251,0.059296482,0.254859611,4.298056156,3.520871143,3.484573503,0.21415608,3.611615245,0.840290381,0.989690722,0.060824742,1.025773196,0.238659794,0.061458333,1.036458333,0.241145833,16.86440678,3.923728814,0.232663317,3.96462,2.41854,634.696,0.333961,0.000811,0.019164
23,24,ACIBOE_clean,0.083556638,0.00259273,2.788617886,0.087388535,1.092356688,0.031029609,33.37398374,1.045859873,13.07324841,1075.552846,33.70522293,421.3152866,0.03133758,0.391719745,12.5,11.96793003,385.6938776,0.358600583,11.44314869,0.915451895,32.2272838,0.029963459,0.956151035,0.076492083,0.000929754,0.029668992,0.002373519,31.91056911,2.552845528,0.08,5.10081,3.73403,972.173,0.454826,0.000964,0.0512348
24,25,ACOGAB_clean,0.015894919,0.000330905,3.084745763,0.019940922,0.994535519,0.020818318,194.0711864,1.254546969,62.56939891,9322.135593,60.26168626,3005.497268,0.006464365,0.322404372,49.87409836,62.91318681,3022.010989,0.324175824,50.14813187,1.005494505,48.03461948,0.005152748,0.797100487,0.015982254,0.000107272,0.016594292,0.000332724,154.6942373,3.101694915,0.020050488,8.25776,7.03071,2298.39,0.798276,0.000951,0.236162
25,26,ACOGEF_clean,0.01430166,0.000509252,3.100189036,0.018026633,0.982035928,0.035607888,216.7712665,1.260457371,68.66586826,6087.731569,35.39826219,1928.389222,0.005814688,0.316766467,54.47694611,69.92195122,1963.664634,0.322560976,55.47347561,1.018292683,28.08366471,0.004613158,0.793362809,0.014563276,0.000164265,0.028249974,0.000518568,171.9782609,3.156899811,0.018356389,5.20085,3.89327,1960.08,0.692558,0.001476,0.11334
26,27,ACOLEL_clean,0.099641577,0.000274913,7.335092348,0.107335907,0.594017094,0.002759016,73.61477573,1.077220077,5.961538462,26681.53034,390.4362934,2160.747863,0.014633205,0.080982906,5.534188034,10.03597122,3637.517986,0.136330935,9.316546763,1.683453237,362.4480287,0.013584229,0.928315412,0.167741935,3.75e-05,0.002561237,0.000462803,68.33773087,12.34828496,0.180694981,5.20115,3.94888,1738.78,0.681752,0.001429,0.102309
27,28,ACOLIP_clean,0.021059402,0.007104045,0.921544209,0.015146553,0.510344828,0.337333679,43.75927771,0.719229982,24.23358621,129.7210461,2.132102505,71.83862069,0.016436057,0.553793103,33.6937931,47.48472973,140.7648649,1.085135135,66.02162162,1.959459459,2.96442384,0.022852297,1.390375853,0.041265044,0.007708849,0.469020602,0.013920089,60.84184309,1.805728518,0.029679057,4.00255,2.78217,164.575,0.148844,0.000892,0.00378055
28,29,ACOLOV_clean,0.083928571,7.48e-06,2.863799283,0.102699229,1.052700922,8.92e-05,34.1218638,1.223650386,12.5428195,382727.5986,13725.06427,140686.4295,0.035861183,0.367588933,10.25032938,11.91489362,133643.3041,0.349186483,9.737171464,0.949937422,11216.4916,0.029306723,0.817226891,0.079726891,2.61e-06,7.29e-05,7.11e-06,27.88530466,2.720430108,0.097557841,4.91034,3.57647,2126.12,0.640618,0.001319,0.0975906
29,30,acs.cgd.5b01686_WAHFUJ1434675_clean,0.058866545,0.243939394,2.95412844,0.167708333,0.658486708,4.143939394,50.18348624,2.848958333,11.18609407,12.11009174,0.6875,2.699386503,0.056770833,0.222903885,3.926380368,16.98757764,4.099378882,0.338509317,5.962732919,1.51863354,0.241316271,0.019926874,0.351005484,0.089396709,0.082575758,1.454545455,0.370454545,17.6146789,4.486238532,0.2546875,8.42183,5.53552,3027.2,0.850577,0.001017,0.360107
30,31,acs.cgd.6b00463_OLOMUZ1451936_clean,6.87e-05,7.62e-10,1.28313253,4.98e-05,0.794776119,1.11e-05,18686.92771,0.724893616,11574.73881,1684674699.0,65351.02786,1043492537.0,3.88e-05,0.619402985,15967.5,14563.52113,1312938967.0,0.779342723,20090.56338,1.258215962,90152.57751,5.35e-05,1.379512771,8.64e-05,5.94e-10,1.53e-05,9.58e-10,25778.85542,1.614457831,6.26e-05,5.00451,3.93435,1381.35,0.489986,0.001053,0.0736863
31,32,acs.chemmater.6b02817_cm6b02817_si_004_clean,0.399224806,1.349934469,3.140243902,0.374545455,1.092258749,3.381389253,7.865853659,0.938181818,2.735949099,2.326219512,0.277454545,0.80911983,0.119272727,0.347826087,2.916224814,2.504854369,0.740776699,0.318446602,2.669902913,0.915533981,0.295736434,0.127131783,1.065891473,0.365503876,0.429882045,3.604193971,1.235910878,8.384146341,2.875,0.342909091,10.32513,7.87202,2091.7,0.768463,0.000672,0.324373
