MOF, HC CH4, Error CH4, HC CO2, Error CO2, HC H2O, Error H2O, HC N2, Error N2, HC N2O, Error N2O, HC O2, Error O2
MOF,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,, Henry, Coefficient,
acs.inorgchem.6b02696_ic6b02696_si_002_clean, 1.14197e-05, 6.07182e-08, 6.30962e-05, 8.93811e-07, 2.7034e-05, 2.49985e-06, 3.22704e-06, 4.07584e-08, 6.94949e-05, 1.03689e-06, 1.10117e-05, 1.25038e-07
acs.jchemed.6b00258_ed6b00258_si_005_clean, 1.61693e-06, 3.47966e-08, 2.52746e-05, 2.05356e-07, 0.00142121, 0.000167797, 4.21799e-07, 9.1781e-09, 3.3007e-06, 4.37233e-08, 2.68727e-06, 4.21477e-08
ACUBAB_clean, 6.86833e-07, 3.167e-09, 8.73159e-05, 8.00228e-07, 0.000119441, 7.84562e-06, 0.0149983, 0.0263589, 0.58849, 0.215984, 1.35007e-06, 2.6897e-08
ACUFEK_clean, 7.55387e-06, 5.67873e-08, 2.0017e-05, 1.08793e-07, 7.86076e-06, 6.57739e-07, 3.13286e-06, 2.3879e-08, 2.11531e-05, 1.32885e-07, 7.37893e-06, 7.57725e-08
ACUJOZ_manual, 7.82739e-06, 6.39987e-08, 2.18684e-05, 1.46405e-07, 6.6544e-05, 2.73857e-05, 2.96717e-06, 1.34171e-08, 2.31903e-05, 5.05933e-08, 7.38587e-06, 4.9921e-08
ACUTOI_clean, 5.15142e-06, 8.49793e-08, 0.000336166, 9.09523e-06, 0.390167, 0.231945, 1.34302e-06, 7.7885e-09, 7.51473e-05, 4.09872e-06, 4.21067e-06, 4.42612e-08
ADABIS_clean, 9.36127e-07, 8.57169e-08, 1.05894e-05, 8.39187e-07, 0.000447546, 7.52992e-05, 4.84472e-07, 2.43416e-08, 2.88495e-06, 1.55254e-07, 3.56535e-06, 1.09496e-07
ADABUE_clean, 1.22391e-06, 3.32457e-08, 2.54055e-05, 2.22539e-07, 0.00148849, 0.000247063, 3.73357e-07, 1.80813e-08, 2.96214e-06, 4.83885e-08, 2.06435e-06, 3.64152e-08
ADARAA_clean, 1.11398e-05, 1.58671e-07, 0.000562101, 9.19342e-05, 6771.59, 9941.47, 3.50506e-06, 2.35186e-08, 0.000589877, 0.000216957, 1.17072e-05, 7.21049e-08
ADASAB_charged, 4.29652e-06, 2.64003e-08, 8.79275e-06, 4.26274e-08, 0.000342305, 0.00024376, 2.562e-06, 1.07777e-08, 9.08981e-06, 4.949e-08, 4.43893e-06, 2.37548e-08
ADASEF_clean, 6.6857e-06, 9.78819e-08, 1.81295e-05, 2.16865e-07, 2.20178e-05, 5.59757e-06, 2.92829e-06, 1.97144e-08, 1.91021e-05, 1.9796e-07, 6.82501e-06, 4.48755e-08
ADASIJ_clean, 8.48484e-06, 5.90127e-08, 2.62732e-05, 1.25684e-07, 2.32363e-05, 1.58947e-06, 3.28029e-06, 1.72923e-08, 2.78809e-05, 1.80243e-07, 8.29418e-06, 1.11087e-07
ADASOP_clean, 9.59308e-06, 7.26496e-08, 5.10254e-05, 1.03985e-06, 0.000397104, 0.000322133, 3.64206e-06, 1.1018e-08, 5.41441e-05, 3.7765e-07, 9.4734e-06, 9.80915e-08
ADASUV_clean, 7.61052e-06, 2.71008e-08, 2.99902e-05, 4.35351e-07, 0.000601611, 0.00058725, 3.10658e-06, 1.19972e-08, 3.19229e-05, 5.65516e-07, 7.69988e-06, 5.7853e-08
