AFUKIX_clean 2 2 1
AFUPEX_clean 3 3 2
AGABIU_clean 2 2 2
AGARUW_clean 4 2 2
AGESIP_clean 5 3 2
AGIMOU_clean 3 3 2
AGIREP_clean 2 2 2
AGOFEJ_clean 2 1 1
AGONAM_clean 4 3 2
AGONEQ_clean 2 2 3
AGOVOJ_clean 1 1 1
AGUTUS_clean 3 3 3
AGUVOO_charged 2 2 1
AGUWUV_clean 4 4 3
AHAMAY_clean 3 3 2
AHEBAS_clean 2 3 2
AHEQAH_clean 2 1 4
AHINIP_clean 3 2 2
AHOBEG_clean 3 3 2
AHOJUC_clean 4 3 4
AHOKAJ_clean 4 3 4
AHOKIR01_clean 6 5 3
AHOKIR_clean 2 4 6
AHOKOX_clean 2 4 6
AHUTIH01_clean 5 4 2
AHUTIH_clean 5 4 2
AJAKON_clean 2 2 2
AJAMEF_clean 3 2 2
AJAYIT_clean 3 3 2
AJIGIL_clean 2 2 2
AJINOY_clean 3 3 3
AJOTEY_clean 2 3 2
AJOVEB_clean 4 2 2
AJOXAA_clean 2 3 2
AJUNOK_clean 2 2 2
AKEDIF_clean 1 5 2
AKOBAF_clean 2 3 2
AKOHEO_clean 2 3 2
AKUHOD01_clean 4 3 3
AKUHOD_clean 4 3 3
AKUKUO_clean 3 3 2
ALALUU01_clean 4 3 3
ALALUU_clean 4 3 3
ALAMUW_clean 2 2 2
ALANAD_clean 2 2 1
ALATAK_clean 2 4 4
ALEJAE_clean 2 2 1
ALEJEI_clean 1 1 1
ALEJIM_clean 1 1 1
ALIBUT_clean 2 2 2
ALICAA_clean 2 2 2
ALIFUY_clean 3 2 3
ALIXAU_clean_h 2 2 2
ALIXOJ_clean 3 2 2
ALIXUP_clean 4 2 2
ALOLES_ion_b 3 3 1
ALOLET_charged 2 2 1
ALOLIY_clean 2 4 1
ALOLOD_charged 2 2 1
ALONEV_clean 1 1 1
ALUJEX_clean 3 2 1
ALUJIB_clean 3 2 1
ALUJOH_clean 3 2 1
ALUJUN_clean 4 3 3
ALUKAU_clean 4 3 3
ALUKIC_clean 2 2 1
ALUKOI_clean 2 2 1
ALULAV_clean 2 2 1
ALULEZ_clean 1 1 1
ALULID_clean 2 2 2
ALURAB_clean 3 2 2
ALUREF_clean 3 2 2
ALURIJ_clean 3 2 2
AMAFOK_clean 4 3 3
AMAGAX_clean 4 2 2
AMALND_clean 3 3 2
AMEJOS_charged 3 2 2
AMIKOX_clean 3 2 2
AMILOY_clean 3 2 1
AMILUE_clean 3 2 2
AMIMAL_clean 3 2 1
AMIMEP_clean 3 2 2
AMIWOJ_clean 3 2 2
AMIXAW_clean 3 2 2
AMIXEA_clean 3 2 2
AMOYOR_clean 5 3 2
AMOZAE_clean 4 2 2
AMUFAR_clean 4 4 2
AMUFEV_clean 4 3 3
AMUFIZ_clean 4 3 3
AMUFOF_clean 4 4 2
AMUPOP_clean 2 2 2
AMUWUB_clean 3 2 2
AMUXAI_clean 3 2 2
ANAWIX_clean 2 2 2
ANAWOD_clean 2 2 2
ANEHEI_clean 3 2 2
ANENEN_clean 3 3 2
ANENIR_clean 3 3 2
ANEPIT_clean 2 2 2
ANIDIL_clean 2 2 2
ANOMUM_clean 3 2 2
ANONAT_manual 3 2 2
ANUGEW_clean 2 2 2
ANUGIA_clean 2 2 2
ANUGOG_clean 2 2 2
APARAM_clean 2 2 4
APAYUN_clean 1 2 2
APAZIC_clean 2 2 1
APAZOI_clean 2 2 2
APEBED_clean 3 2 2
APEBEE_clean 4 3 2
APEBUU_clean 2 2 2
APETAS_clean 4 3 2
APUPEH_clean 1 1 1
AQAJEI_clean 2 2 2
AQALOU_clean 3 2 3
AQEFUY_clean 2 2 3
AQEQES_clean 3 2 3
AQEQIW_clean 3 2 3
AQETIA_clean 3 2 2
AQETUM_clean 3 2 2
AQIQAU_clean 2 2 2
AQIXUV_clean 2 2 2
AQMAND01_clean 4 3 3
AQMAND_clean 3 3 2
AQODOA_clean 5 3 2
AQOLEZ_clean 2 2 2
AQOLUP_clean 1 1 1
